Django URL,Django view/template,Target WP template/file,Status,Comment
/,views.main_page -> templates/index.html,front-page.php (canonical /),ported local,Главная рендерится локально без redirect.
/search/,TemplateView(search.html),not in Beta scope,blocked,Отдельный search template не переносился; legacy strategy не добавлялась.
/o-banke-slavyanbank-html/info_bank-html.html/,views.info_bank -> templates/info_bank.html,301 -> / (front-page.php),alias/redirect,Коллизия info_bank vs / решена через legacy redirect на локальную главную.
/rekvizity-banka.html/,views.requisites_bank -> templates/requisites-bank.html,301 -> /rekvizity-banka/ (page-rekvizity-banka.php),alias/redirect,Legacy URL ведет на локальный canonical slug.
/o-banke-slavyanbank-html/organy_upravlenya.html/,views.governance -> templates/governance.html,external fallback via functions.php,fallback external,Исправляет broken relative governance.html из footer. Остается внешним fallback.
/otchetnost.html/,views.reporting -> templates/reporting.html,301 -> /otchetnost/ (page-otchetnost.php),alias/redirect,Legacy URL ведет на локальный canonical slug.
/o-banke-html/info_bank-html/raskritie-informacii.html/,views.disclosur_regulatory -> templates/disclosure-regulatory.html,external fallback via functions.php,fallback external,Не входит в wave 1.
/informacziya-dlya-notariusov.html/,views.notaries -> templates/notaries.html,external fallback via functions.php,fallback external,Не входит в wave 1.
/novosti.html/,views.novosti -> templates/news.html,external fallback via functions.php,fallback external,В home stack оставлены внешние публикации.
/tarify-banka.html/,TemplateView(tariffs.html + extra_context),301 -> /tarify-banka/ (page-tarify-banka.php),alias/redirect,Legacy URL ведет на локальный canonical slug.
/tarify-banka-html/tarify_rf.html/,views.tariffs_rub -> templates/tariffs-rub.html,external fallback via functions.php,fallback external,Не входит в wave 1.
/tarify-banka-html/tarif_slavny.html/,views.tariffs_slavny -> templates/tariffs-slavny.html,external fallback via functions.php,fallback external,Не входит в wave 1.
/tarify-banka-html/tarif_privetstvenny.html/,TemplateView(tariff-privetstvenny.html),external fallback via functions.php,fallback external,Не входит в wave 1.
/tarify-banka-html/tarif_depositny.html/,TemplateView(tariff-depositny.html),external fallback via functions.php,fallback external,Не входит в wave 1.
/tarify-banka-html/tarify_valuta.html/,TemplateView(tariffs-foreign-currency.html),external fallback via functions.php,fallback external,Не входит в wave 1.
/yuridicheskim-liczam.html/,TemplateView(legal-entities.html),external fallback via functions.php,fallback external,Локально не переносилась. Остается внешним fallback.
/yuridicheskim-liczam-html/deposity-dlya-yur-lic.html/,TemplateView(business-deposits.html),external fallback via functions.php,fallback external,Локально не переносилась. Остается внешним fallback.
/yuridicheskim-liczam-html/kreditovanie-yuridicheskih-licz.html/,TemplateView(business-lending.html),external fallback via functions.php,fallback external,Home CTA ведёт сюда как внешний fallback.
