Source asset path/url,Target WP path,Type,Connection,Comment
static/tokens.css,assets/css/tokens.css,CSS,wp_enqueue_style(sb-alpha-tokens),"Скопировано локально; @font-face для отсутствующих Cygre-Book/Light удалены, чтобы не получать 404."
static/motion.css,assets/css/motion.css,CSS,wp_enqueue_style(sb-alpha-motion),Основная анимация и layout-компоненты из исходника.
static/figure.css,assets/css/figure.css,CSS,wp_enqueue_style(sb-alpha-figure),Локально.
static/footer.css,assets/css/footer.css,CSS,wp_enqueue_style(sb-alpha-footer),Локально.
static/form.css,assets/css/form.css,CSS,wp_enqueue_style(sb-alpha-form),Локально.
static/header.css,assets/css/header.css,CSS,wp_enqueue_style(sb-alpha-header),Локально; в Django подключался условно через menu include.
static/menu_prod.css,assets/css/menu-prod.css,CSS,wp_enqueue_style(sb-alpha-menu-prod),Локально.
inline <style> in templates/base.html + templates/inc/footer.html,assets/css/layout.css,CSS,wp_enqueue_style(sb-alpha-layout),Перенесён из inline CSS; добавлены стили для contacts/map и admin bar.
static/motion.js,assets/js/motion.js,JS,wp_enqueue_script(sb-alpha-motion),Локально.
static/logo2.png,assets/img/logo2.png,Image,через sb_alpha_asset(),Локальный логотип для header.
static/assets/icon192.png,assets/img/icon192.png,Image,через sb_alpha_asset(),Локальная иконка/footer favicon.
static/assets/main_about.png,assets/img/main_about.png,Image,через sb_alpha_asset(),Локальная иллюстрация на home.
https://slavbank.ru/wp-content/uploads/cropped-…32x32.png,replaced by assets/img/icon192.png,External image,removed,Внешний favicon из base.html исключён.
https://slavbank.ru/wp-content/uploads/cropped-…192x192.png,replaced by assets/img/icon192.png,External image,removed,Внешний favicon из base.html исключён.
https://slavbank.ru/wp-content/uploads/*.pdf|*.xls (reporting),left external (content links),Document links,внутри page-otchetnost.php,"Осознанное исключение: это не theme assets, а контентные документы/отчёты."
https://ved.slavbank.ru/,left external,External service,sb_alpha_url(client-bank-login),Осознанное исключение: вход в систему ДБО/ВЭД.
https://www.ammyy.com/ru/,left external,External service,sb_alpha_url(remote-support),Осознанное исключение: удалённое управление.
https://yandex.ru/maps/... + https://www.google.com/maps/search/...,left external,Map links,внутри page-kontakty.php,Осознанное исключение: внешние карты.
