row_type,legacy_url_or_source_url,canonical_local_url,source_view_template,wp_template_file,handling,status,comment
canonical-local,/,/,views.main_page -> templates/index.html,front-page.php,local render,ported-local,Главная страница и canonical home.
canonical-local,/informaciya-banka/,/informaciya-banka/,views.info_bank -> templates/info_bank.html,page-informaciya-banka.php,local render,ported-local,Отдельная локальная страница; больше не сводится к главной.
canonical-local,/kontakty/,/kontakty/,TemplateView -> templates/contacts.html,page-kontakty.php,local render,ported-local,Canonical local URL для контактов.
canonical-local,/otchetnost/,/otchetnost/,views.reporting -> templates/reporting.html,page-otchetnost.php,local render,ported-local,Canonical local URL для отчетности.
canonical-local,/rekvizity-banka/,/rekvizity-banka/,views.requisites_bank -> templates/requisites-bank.html,page-rekvizity-banka.php,local render,ported-local,Canonical local URL для реквизитов.
canonical-local,/napisat-v-bank/,/napisat-v-bank/,TemplateView -> templates/write-to-bank.html,page-napisat-v-bank.php,local render,ported-local,Primary feedback page; форма рендерится через content-driven Contact Form 7.
canonical-local,/podderzhka/,/podderzhka/,TemplateView -> templates/support.html,page-podderzhka.php,local render,ported-local,Canonical local URL для поддержки.
canonical-local,/tarify-banka/,/tarify-banka/,TemplateView -> templates/tariffs.html,page-tarify-banka.php,local render,ported-local,Canonical local URL для тарифов банка.
legacy-source,/o-banke-slavyanbank-html/info_bank-html.html/,/informaciya-banka/,views.info_bank -> templates/info_bank.html,functions.php + page-informaciya-banka.php,301 redirect,legacy-redirect,Legacy info_bank больше не идет на главную; редиректит на локальную страницу Информация банка.
legacy-source,/kontakty.html/,/kontakty/,TemplateView -> templates/contacts.html,functions.php + page-kontakty.php,301 redirect,legacy-redirect,Legacy Django/prod URL закрыт через rewrite + template_redirect.
legacy-source,/otchetnost.html/,/otchetnost/,views.reporting -> templates/reporting.html,functions.php + page-otchetnost.php,301 redirect,legacy-redirect,Legacy Django/prod URL закрыт через rewrite + template_redirect.
legacy-source,/rekvizity-banka.html/,/rekvizity-banka/,views.requisites_bank -> templates/requisites-bank.html,functions.php + page-rekvizity-banka.php,301 redirect,legacy-redirect,Legacy Django/prod URL закрыт через rewrite + template_redirect.
legacy-source,/forma-obratnoj-svyazi.html/,/napisat-v-bank/,TemplateView -> templates/write-to-bank.html,functions.php + page-napisat-v-bank.php,301 redirect,legacy-redirect,Legacy URL формы ведет на локальную canonical страницу Написать в банк.
legacy-source,/podderzhka.html/,/podderzhka/,TemplateView -> templates/support.html,functions.php + page-podderzhka.php,301 redirect,legacy-redirect,Legacy Django/prod URL закрыт через rewrite + template_redirect.
legacy-source,/tarify-banka.html/,/tarify-banka/,TemplateView -> templates/tariffs.html,functions.php + page-tarify-banka.php,301 redirect,legacy-redirect,Legacy Django/prod URL закрыт через rewrite + template_redirect.
source-url,/search/,,TemplateView -> templates/search.html,,blocked,blocked,Служебный/вспомогательный search route. Не портировался в wave 1/2/RC.
